feature,importance
avg_session_duration_sec,0.10232188295165387
total_pageviews,0.0997706575599303
reports_downloaded,0.0502996518012588
used_comparison_tool,0.04122807017543852
papers_analyzed,0.019351814651131605
used_gap_analysis,0.01441676710861115
total_sessions,0.014135529663854236
used_ip_patent_check,0.006761416901031144
used_due_diligence,0.006599035757332213
used_pitch_export,0.006567229141556082
traffic_source_university_partner,0.006309428150528906
country_India,0.005477434043123034
device_type_desktop,0.0054439533949376916
country_Singapore,0.005266505959555342
traffic_source_organic_search,0.005134257399223174
support_tickets_raised,0.004652136065354166
used_crs_score,0.003843578411677995
traffic_source_direct,0.0037565287263960764
traffic_source_linkedin,0.0037012856568902743
user_type_industry,0.0036611088790678386
used_industry_fit,0.00334639078612556
traffic_source_google_ads,0.0018414356501941158
traffic_source_industry_event,0.0018146511316458355
traffic_source_email_campaign,0.0004955135931431117
device_type_mobile,0.0002578009910271314
country_USA,0.0
country_UAE,0.0
traffic_source_referral,0.0
country_Germany,0.0
traffic_source_word_of_mouth,0.0
user_type_researcher,0.0
device_type_tablet,0.0
